frame_number,license_number,confidence_score
57,WL51VSU,0.268685092563192
57,GX15OGJ,0.24503637986376228
58,,0.0
58,GX15OGJ,0.32706845488258046
58,,0.0
59,,0.0
59,GX15OGJ,0.33127038154666855
60,,0.0
60,,0.0
61,,0.0
61,,0.0
62,,0.0
62,GX15OGJ,0.4203588070972389
63,,0.0
63,,0.0
64,,0.0
64,GX15OGJ,0.26863408552704
65,,0.0
65,GX15OGJ,0.4037909683986982
66,,0.0
67,,0.0
67,,0.0
68,,0.0
69,,0.0
69,GX15OGJ,0.7310431020824422
70,,0.0
70,GX15OGJ,0.31388278761319405
71,,0.0
71,GX15OGJ,0.32065141263508257
72,CL51NSU,0.2772707449788187
72,GX15OGJ,0.38464497660271607
73,LL15ISU,0.45443951690506895
73,GX15OGJ,0.4437486178304549
74,,0.0
74,GX15OGJ,0.35555591565851724
75,GX15OGJ,0.4486134414961961
75,,0.0
76,GX15OGJ,0.3663742222727965
77,GX15OGJ,0.4352406729712699
78,GX15OGJ,0.39710697905669606
78,,0.0
79,GX15OGJ,0.29220768326968827
80,GX15OGJ,0.485131807871774
81,GX15OGJ,0.5429339654847632
82,GX15OGJ,0.40198441816892205
83,GX15OGJ,0.6685663600809605
84,GX15OGJ,0.24299781332123332
85,,0.0
86,GX15OCJ,0.5223019413293082
87,GX15OCJ,0.3971060016685882
88,GX15OGJ,0.43179716059122636
89,GX15OGJ,0.375374448672566
90,GX15OGJ,0.2750312953825358
91,GX15OGJ,0.45486289842939415
92,GX15OGJ,0.7179770897370243
93,GX15OGJ,0.2850667265186488
94,GX15OGJ,0.5149431318206444
94,GX15OGJ,0.5149431318206444
95,GX15OGJ,0.331942416370598
96,GX15OGJ,0.4285108752165921
97,GX15OGJ,0.5171582754148325
98,GX15OGJ,0.6927437149094027
99,,0.0
99,GX15OGJ,0.4602093822995215
100,GX15OCJ,0.2768134788746035
101,GX15OGJ,0.42669010863448603
102,GX15OGJ,0.46376988977265154
103,,0.0
103,GX15OGJ,0.35146395339442993
104,,0.0
104,,0.0
105,,0.0
106,GX15OGJ,0.4356688140877057
107,GX15OGJ,0.3548312795308445
108,GX15OGJ,0.37461983165935675
109,GX15OGJ,0.3726148311803285
110,GX15OGJ,0.3087570161262183
110,,0.0
111,GX15OGJ,0.39153405409601605
111,,0.0
112,GX15OGJ,0.43959097692479715
113,GX15OGJ,0.31689997244082685
114,GX15OGJ,0.6120426676522585
114,,0.0
115,GX15OGJ,0.5663257894295544
115,LE05JEO,0.04247447552746966
116,GX15OGJ,0.7092054041114828
116,LP05JEO,0.2906813308216936
117,GX15OGJ,0.577300752675164
118,,0.0
118,KH05ZIK,0.1385530789907692
119,GX15OGJ,0.7369585914238767
119,,0.0
120,GX15OGJ,0.33899061827097066
120,AP05JEQ,0.21191707925735329
121,GX15OGJ,0.4296863090489856
121,AP05JEQ,0.16937220216045637
122,GX15OGJ,0.4903808514565941
122,,0.0
122,,0.0
123,GX15OGJ,0.4745577571670656
123,AP05JEO,0.3478226667755426
123,,0.0
124,GX15OGJ,0.5059170015141194
124,AP05JEQ,0.13889491468750398
124,,0.0
125,GX15OGJ,0.47923933834967436
125,LH14VCV,0.12053245011673215
126,GX15OGJ,0.22310674781117096
126,AP05JEO,0.22703418172422798
127,GX15OGJ,0.5277191084279195
127,ZP05JEO,0.27561956296994533
128,GX15OGJ,0.5742798008273319
128,AP05JEO,0.4663683167130408
129,GX15OGJ,0.40890223458413905
130,GX15OGJ,0.29571480554201884
130,,0.0
131,GX15OGJ,0.3928726003335801
131,,0.0
132,,0.0
132,,0.0
132,AP05JEO,0.36205449766767056
133,,0.0
133,GX15OGJ,0.28699441343513216
133,,0.0
133,,0.0
133,,0.0
134,,0.0
134,GX15OGJ,0.3871492838366981
134,,0.0
135,GX15OGJ,0.31156824734337274
135,,0.0
135,,0.0
136,LH13VCV,0.289242241679044
136,GX15OGJ,0.27953565711899603
136,,0.0
136,,0.0
137,,0.0
137,GX15OGJ,0.38365098241474094
137,AP05JEO,0.29935753827736866
138,LH13VCV,0.1788231761480445
138,AP05UEO,0.3046774956742618
138,,0.0
139,AP05JEO,0.17787780486366186
139,LH13VCW,0.2235171470761478
139,,0.0
140,AP05JEO,0.5022846032199121
140,LH13WCW,0.18197911609867568
141,,0.0
141,,0.0
142,,0.0
142,ZP05JEO,0.3643509991241815
143,AP05JEO,0.5085820670364897
143,,0.0
144,,0.0
144,,0.0
145,,0.0
145,,0.0
146,KH15ZZK,0.31789912675342974
146,AP05JEO,0.5335132214618576
147,KH05ZZK,0.1908326892795104
147,,0.0
148,AP05JEO,0.17343208368114668
148,KH05ZZK,0.13930769461686762
149,,0.0
149,KH05ZZK,0.4365044681757759
149,AP05JEE,0.10049242630374461
150,,0.0
150,AP05JEO,0.11444676277409968
151,,0.0
151,AP05JEO,0.06780956353253777
151,,0.0
152,,0.0
152,,0.0
153,,0.0
153,,0.0
154,AP05JEO,0.5368754676055153
154,KH05ZIK,0.2010865413372603
155,AP05JEO,0.4391027637178382
155,,0.0
156,,0.0
156,AP05JEO,0.23928813335941546
157,AP05JBO,0.4118495566099576
157,KH05ZZK,0.21714542627448122
158,KH05ZIK,0.49550738532788857
158,AP05JEO,0.49022589895753893
158,,0.0
159,,0.0
159,,0.0
159,,0.0
160,,0.0
160,AP05JEO,0.17833193734186614
161,AP05JEO,0.328899928427624
161,,0.0
162,,0.0
162,AP05JEQ,0.23605417673841753
162,AP05JEQ,0.11563919869136399
163,,0.0
163,AP05JEQ,0.3281253886209647
164,,0.0
164,AP05JED,0.3838298212326564
165,AP05JEO,0.18646545389827243
165,KH05ZIK,0.2477458662510264
166,,0.0
166,,0.0
166,JP05JEO,0.07741467996830619
167,KH05ZZK,0.26122160766202
167,,0.0
167,,0.0
168,,0.0
168,,0.0
169,,0.0
169,,0.0
169,,0.0
170,,0.0
170,,0.0
171,,0.0
171,,0.0
172,AP05JEQ,0.118148342776569
172,,0.0
173,,0.0
173,AP05JEO,0.23096508685995865
174,,0.0
174,AP05JEO,0.2770943069245972
174,AP05JEO,0.14592787774811136
175,,0.0
175,AP05JEQ,0.28896301478635755
175,AR05JEO,0.13956732737344907
176,,0.0
176,,0.0
177,,0.0
177,,0.0
177,,0.0
178,,0.0
178,,0.0
178,AP05JEO,0.42413598296145116
179,,0.0
179,AP05JEO,0.2099473640198582
180,,0.0
180,KH05ZZK,0.1492857114093786
180,,0.0
180,AP05JEO,0.2860922672127978
181,,0.0
181,,0.0
182,KH05ZZK,0.3764976122264919
182,AP05JEO,0.24301803236985473
182,,0.0
182,,0.0
183,,0.0
183,ZP05JEO,0.2963828749654253
183,,0.0
184,,0.0
184,AP05JEO,0.27403450226690923
184,,0.0
185,,0.0
185,AP05JEO,0.1991460562262028
186,KH05ZZK,0.15885512475468488
186,AP05JEO,0.4785362352479799
187,,0.0
187,,0.0
188,KH05ZZK,0.4130352851528581
188,AP05JEQ,0.36269687558462793
188,,0.0
189,KH05ZZK,0.28456095549421767
189,AP05JEO,0.4016186414822763
190,KH05ZZK,0.7202369203049808
190,,0.0
190,,0.0
191,AP05JEO,0.4940641357669079
191,,0.0
192,KH05ZZK,0.32757092624017103
192,AP05JEO,0.5553385342280283
193,KH05ZZK,0.1323901835190226
193,,0.0
194,KH05ZZK,0.270256988221299
194,AP05JEQ,0.4333590631721563
195,AP05JEQ,0.20540835759787965
195,KH05ZZK,0.12883869663203193
196,AP05JEQ,0.13349147188685137
196,KH05ZUK,0.15240381123478436
197,AP05JEQ,0.20638507142139753
197,,0.0
198,,0.0
198,,0.0
198,AP05JEO,0.2500539392941789
199,KH05ZTK,0.21679549074019222
199,AP05JEQ,0.3498579315210689
200,KH05ZIK,0.11091168225838174
200,AP05JEQ,0.10429485318208312
200,,0.0
201,,0.0
201,LP05JEQ,0.14492103269019385
201,AP05JEQ,0.3845833357000121
202,KR05ZZK,0.34918191900245704
202,AP05JEO,0.17704120835934656
202,,0.0
202,,0.0
202,AP05JEQ,0.1684965849366802
203,KR05ZZK,0.26884162452666405
203,AP05JEO,0.25074121081372064
203,,0.0
204,,0.0
204,,0.0
205,KH05ZZK,0.4198672171703023
205,AP05JEO,0.13161289391291592
206,KH05ZZK,0.577479652181799
206,,0.0
207,,0.0
207,AR05JEQ,0.15231822684074964
208,KH05ZZK,0.6761482030572294
208,AP05JEO,0.2426642309272566
208,AP05JEQ,0.34865312056916803
209,AP05JEO,0.2489224576552726
209,KH05ZZK,0.5293252457810195
210,AP05JEQ,0.3687160108983696
210,KH05ZZK,0.6095012210733315
211,AP05JEO,0.19201598000278206
211,,0.0
212,KH05ZZK,0.29721786118195226
212,AP05JEQ,0.250218771055074
213,KH05ZZK,0.3757719651686321
213,AP05JEO,0.2977595309520077
214,,0.0
214,AP05JEO,0.3670763121459656
215,,0.0
215,AP05JEO,0.4344628865314298
216,AP05JEO,0.404810739942327
216,CH05ZZK,0.1936954847636425
217,AP05JEQ,0.3598699404837712
217,KH05ZZK,0.3485509402678493
218,AP05JEQ,0.4331619098700567
218,KH05ZZK,0.40587133267426323
218,,0.0
219,,0.0
219,,0.0
219,,0.0
219,AP05JEC,0.39851975075311097
219,AP05JEQ,0.10173523189635565
220,,0.0
220,,0.0
221,,0.0
221,,0.0
221,,0.0
222,KH05ZZK,0.45545383164323966
223,KH05ZZK,0.3480071274425168
